7934
; High-resolution solar spectrum between 800-1150 A. 
; Based on measurements with SOHO/SUMER (Curdt et al., 1997)
; wave (A)   flux (photons in arbitrary units)
827.92902    4.79826E+07
827.97351    4.76538E+07
828.01807    4.72832E+07
828.06256    4.67824E+07
828.10712    4.50524E+07
828.15161    4.45611E+07
828.19611    4.49404E+07
828.24066    4.57529E+07
828.28516    4.62791E+07
828.32965    4.68730E+07
828.37421    4.64631E+07
828.41870    4.69750E+07
828.46326    4.72907E+07
828.50775    4.75055E+07
828.55225    4.72976E+07
828.59680    4.78642E+07
828.64130    4.80131E+07
828.68579    4.91484E+07
828.73035    4.89204E+07
828.77484    4.85541E+07
828.81940    4.88008E+07
828.86389    4.75532E+07
828.90839    4.65380E+07
828.95294    4.53198E+07
828.99744    4.42577E+07
829.04199    4.48335E+07
829.08649    4.71566E+07
829.13098    4.84524E+07
829.17554    4.94146E+07
829.22003    4.91208E+07
829.26459    4.84591E+07
829.30908    4.94451E+07
829.35364    4.91952E+07
829.39813    4.91503E+07
829.44263    4.73689E+07
829.48718    4.72104E+07
829.53168    4.71823E+07
829.57623    4.72309E+07
829.62073    4.83038E+07
829.66522    4.95908E+07
829.70978    4.94184E+07
829.75427    5.01574E+07
829.79883    5.14731E+07
829.84332    5.10952E+07
829.88788    5.06318E+07
829.93237    4.91967E+07
829.97693    4.88698E+07
830.02142    4.93466E+07
830.06598    4.90609E+07
830.11047    4.92883E+07
830.15497    4.91469E+07
830.19952    5.07095E+07
830.24402    5.01524E+07
830.28857    4.80947E+07
830.33307    4.74948E+07
830.37762    4.70310E+07
830.42212    4.66865E+07
830.46667    4.64405E+07
830.51117    4.68262E+07
830.55573    4.77105E+07
830.60022    4.79298E+07
830.64471    4.86052E+07
830.68927    5.00533E+07
830.73376    5.04393E+07
830.77832    5.04606E+07
830.82281    4.99808E+07
830.86737    5.05078E+07
830.91187    5.04120E+07
830.95642    5.07922E+07
831.00092    5.14197E+07
831.04547    4.95470E+07
831.08997    4.88292E+07
831.13452    4.91411E+07
831.17902    5.01100E+07
831.22357    4.94001E+07
831.26807    4.87917E+07
831.31262    4.85415E+07
831.35712    4.98848E+07
831.40167    4.95722E+07
831.44617    5.02817E+07
831.49072    5.08170E+07
831.53522    4.95058E+07
831.57977    4.88925E+07
831.62427    4.92174E+07
831.66882    5.03239E+07
831.71332    5.12055E+07
831.75787    5.10265E+07
831.80243    5.01761E+07
831.84692    5.05502E+07
831.89148    5.01802E+07
831.93597    5.12204E+07
831.98053    5.13780E+07
832.03503    5.11365E+07
832.07959    5.01517E+07
832.12408    4.90277E+07
832.16864    4.84949E+07
832.21313    4.88097E+07
832.25769    5.01592E+07
832.30219    5.02011E+07
832.34674    4.86071E+07
832.39124    4.89814E+07
832.43579    5.11269E+07
832.48029    5.47254E+07
832.52484    5.99125E+07
832.56934    7.19987E+07
832.61389    9.77937E+07
832.65845    1.38148E+08
832.70294    1.81064E+08
832.74750    2.06131E+08
832.79199    2.16676E+08
832.83655    2.21119E+08
832.88104    2.40812E+08
832.92560    2.48295E+08
832.97015    2.18721E+08
833.01465    1.62164E+08
833.05920    1.16413E+08
833.10370    9.81448E+07
833.14825    1.11970E+08
833.19281    1.59890E+08
833.23730    2.37044E+08
833.28186    3.02997E+08
833.32635    3.16060E+08
833.37091    2.57699E+08
833.41541    1.72944E+08
833.45996    1.20207E+08
833.50452    1.10235E+08
833.54901    1.41536E+08
833.59357    2.22970E+08
833.63806    3.55119E+08
833.68262    5.05750E+08
833.72717    5.84739E+08
833.77167    5.26757E+08
833.81622    3.74612E+08
833.86072    2.26411E+08
833.90527    1.35866E+08
833.94983    8.96623E+07
833.99432    6.76184E+07
834.03888    5.82678E+07
834.08337    5.72994E+07
834.12793    6.07468E+07
834.17249    6.49878E+07
834.21698    7.50702E+07
834.26154    9.85841E+07
834.30609    1.52723E+08
834.35059    2.46961E+08
834.39514    3.63053E+08
834.43970    4.32258E+08
834.48419    4.10984E+08
834.52875    3.06742E+08
834.57324    1.90611E+08
834.61780    1.18948E+08
834.66235    8.37541E+07
834.70685    6.69347E+07
834.75140    6.08749E+07
834.79596    6.09036E+07
834.84045    6.56844E+07
834.88501    7.78929E+07
834.92957    1.01754E+08
834.97406    1.42107E+08
835.01862    1.98852E+08
835.06317    2.55665E+08
835.10767    3.14908E+08
835.15222    4.17740E+08
835.19678    5.95352E+08
835.24127    7.76868E+08
835.28583    8.30796E+08
835.33038    7.01500E+08
835.37488    4.70733E+08
835.41943    2.68581E+08
835.46399    1.49044E+08
835.50848    9.46273E+07
835.55304    7.31244E+07
835.59760    6.18056E+07
835.64209    5.69549E+07
835.68665    5.55943E+07
835.73120    5.66830E+07
835.77570    5.71259E+07
835.82025    5.60078E+07
835.86481    5.51364E+07
835.90930    5.42888E+07
835.95386    5.28545E+07
835.99841    5.34566E+07
836.04297    5.45017E+07
836.08746    5.70530E+07
836.13202    5.96720E+07
836.17657    6.07666E+07
836.22113    6.09330E+07
836.26562    6.02375E+07
836.31018    5.95426E+07
836.35474    5.78658E+07
836.39923    5.72570E+07
836.44379    5.72247E+07
836.48834    5.78038E+07
836.53290    5.70120E+07
836.57739    5.61863E+07
836.62195    5.58648E+07
836.66650    5.56939E+07
836.71100    5.50683E+07
836.75555    5.44442E+07
836.80011    5.33731E+07
836.84467    5.38384E+07
836.88916    5.26945E+07
836.93372    5.33731E+07
836.97827    5.48685E+07
837.02283    5.60458E+07
837.06732    5.79029E+07
837.11188    5.92069E+07
837.15643    5.96262E+07
837.20099    5.96960E+07
837.24548    5.76409E+07
837.29004    5.85165E+07
837.33459    5.88244E+07
837.37915    5.98587E+07
837.42365    6.05868E+07
837.46820    5.91268E+07
837.51276    5.68517E+07
837.55731    5.57683E+07
837.60181    5.46517E+07
837.64636    5.48648E+07
837.69092    5.64431E+07
837.73547    5.67268E+07
837.78003    5.85619E+07
837.82452    5.85011E+07
837.86908    5.69604E+07
837.91364    5.75639E+07
837.95819    5.68800E+07
838.00269    5.65411E+07
838.04724    5.74927E+07
838.09180    5.79112E+07
838.13635    5.62395E+07
838.18091    5.57806E+07
838.22540    5.45444E+07
838.26996    5.48298E+07
838.31451    5.52237E+07
838.35907    5.74490E+07
838.40363    5.92810E+07
838.44812    5.98621E+07
838.49268    5.74470E+07
838.53723    5.58651E+07
838.58179    5.69652E+07
838.62634    5.85848E+07
838.67084    5.91079E+07
838.71539    5.96078E+07
838.75995    5.99746E+07
838.80450    6.06961E+07
838.84906    5.99360E+07
838.89362    5.85414E+07
838.93811    5.79982E+07
838.98267    5.78567E+07
839.02722    5.77613E+07
839.07178    5.80400E+07
839.11633    5.68855E+07
839.16089    5.58830E+07
839.20538    5.55161E+07
839.24994    5.68984E+07
839.29449    5.66034E+07
839.33905    5.47933E+07
839.38361    5.40953E+07
839.42816    5.42300E+07
839.47266    5.51303E+07
839.51721    5.69391E+07
839.56177    5.73098E+07
839.60632    5.83491E+07
839.65088    5.92758E+07
839.69543    5.87215E+07
839.73999    5.82741E+07
839.78448    5.88757E+07
839.82904    5.89595E+07
839.87360    5.98732E+07
839.91815    5.95382E+07
839.96271    6.08341E+07
840.02875    5.95633E+07
840.07324    5.86030E+07
840.11774    5.74008E+07
840.16223    5.83277E+07
840.20673    5.85536E+07
840.25116    5.95133E+07
840.29565    6.00782E+07
840.34015    6.03369E+07
840.38464    6.03968E+07
840.42914    5.95514E+07
840.47357    5.91058E+07
840.51807    5.86711E+07
840.56256    5.84168E+07
840.60706    5.85387E+07
840.65155    5.78507E+07
840.69598    5.74418E+07
840.74048    5.86751E+07
840.78497    6.03429E+07
840.82947    5.97768E+07
840.87390    5.92423E+07
840.91840    5.71408E+07
840.96289    5.63315E+07
841.00739    5.76293E+07
841.05188    5.71658E+07
841.09637    5.78760E+07
841.14087    5.86529E+07
841.18530    5.77616E+07
841.22980    5.80063E+07
841.27429    5.86020E+07
841.31879    5.87127E+07
841.36328    5.94785E+07
841.40771    5.95915E+07
841.45221    5.94581E+07
841.49670    6.09525E+07
841.54120    6.08873E+07
841.58569    6.08979E+07
841.63019    6.07783E+07
841.67468    6.02148E+07
841.71912    5.95452E+07
841.76361    5.67096E+07
841.80811    5.50669E+07
841.85260    5.53475E+07
841.89709    5.79668E+07
841.94159    6.05941E+07
841.98608    6.21233E+07
842.03052    6.17859E+07
842.07501    6.07968E+07
842.11951    6.05063E+07
842.16400    6.04626E+07
842.20850    6.03187E+07
842.25299    5.86957E+07
842.29749    5.86922E+07
842.34198    5.84767E+07
842.38641    5.84908E+07
842.43091    6.04191E+07
