# 13C16O photoabsorption. 300K. Generated by Alan Heays 2016-04-21.
# wavelength(nm) cross_section(cm2)
89.69930 1.46961e-17
89.69940 8.67608e-18
89.69950 1.06659e-18
89.69960 -6.12935e-18
89.69970 -1.10193e-17
89.69980 -1.24593e-17
89.69990 -1.03433e-17
89.70000 -5.65958e-18
89.70010 -9.52418e-20
89.70020 4.48573e-18
89.70030 6.84829e-18
89.70040 6.91497e-18
89.70050 5.74249e-18
89.70060 4.76029e-18
89.70070 4.98294e-18
89.70080 6.58458e-18
89.70090 8.79386e-18
89.70100 1.03017e-17
89.70110 9.98997e-18
89.70120 7.52782e-18
89.70130 3.63313e-18
89.70140 -2.23895e-19
89.70150 -2.67120e-18
89.70160 -2.88658e-18
89.70170 -8.60302e-19
89.70180 2.71184e-18
89.70190 6.66072e-18
89.70200 1.00098e-17
89.70210 1.24697e-17
89.70220 1.45437e-17
89.70230 1.73005e-17
89.70240 2.17391e-17
89.70250 2.81773e-17
89.70260 3.60186e-17
89.70270 4.36395e-17
89.70280 4.88889e-17
89.70290 5.00108e-17
89.70300 4.66756e-17
89.70310 4.01793e-17
89.70320 3.26807e-17
89.70330 2.62076e-17
89.70340 2.20309e-17
89.70350 2.05543e-17
89.70360 2.14600e-17
89.70370 2.39596e-17
89.70380 2.72145e-17
89.70390 3.05526e-17
89.70400 3.35812e-17
89.70410 3.60198e-17
