    35     19    4
Wavelength (Angstroms)
  9.726E-18  9.637E-18  9.935E-18  6.984E-18  5.524E-18  4.152E-18  2.789E-18  1.615E-18  1.667E-18  6.689E-20
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
O2           + hv           = O2P          + E            +              +             1027.2
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.828E-01  3.118E-01  3.403E-01  3.671E-01  4.004E-01
  3.858E-01  4.438E-01  4.832E-01  6.002E-01  6.294E-01  6.859E-01  7.273E-01  6.664E-01  7.835E-01  6.906E-01
  6.534E-01  6.514E-01  6.822E-01  5.668E-01  5.384E-01  6.200E-01  8.798E-01  7.577E-01  4.960E-01  5.467E-02
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
O2           + hv           = O            + O            +              +             2400.0
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  6.172E-01  6.882E-01  6.597E-01  6.329E-01  5.996E-01
  6.142E-01  5.562E-01  5.168E-01  3.998E-01  3.706E-01  3.141E-01  2.727E-01  3.336E-01  2.165E-01  3.094E-01
  3.466E-01  3.486E-01  3.178E-01  4.332E-01  4.616E-01  3.800E-01  1.202E-01  2.423E-01  5.040E-01  9.453E-01
  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
O3          2
Total Absorption Cross Section (cm^2)
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.922E-17  2.698E-17  2.483E-17  2.458E-17  2.344E-17
  2.220E-17  2.068E-17  1.867E-17  1.781E-17  1.576E-17  1.368E-17  1.274E-17  1.225E-17  1.172E-17  1.106E-17
  1.135E-17  1.097E-17  1.041E-17  9.863E-18  8.857E-18  8.858E-18  9.226E-18  9.226E-18  9.226E-18  9.226E-18
  9.226E-18  9.226E-18  9.226E-18  9.226E-18  9.250E-18
Total Ionization Cross Section (cm^2)
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.922E-17  2.698E-17  2.483E-17  2.458E-17  2.344E-17
  2.220E-17  2.068E-17  1.867E-17  1.781E-17  1.576E-17  1.368E-17  1.274E-17  1.225E-17  1.172E-17  1.086E-17
  1.064E-17  9.979E-18  7.700E-18  2.061E-18  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
O3           + hv           = O3P          + E            +              +             989.5
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  9.822E-01
  9.375E-01  9.099E-01  7.394E-01  2.089E-01  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
O3           + hv           = O2           + O            +              +             11222.0
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.777E-02
  6.252E-02  9.008E-02  2.606E-01  7.911E-01  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
OH          1
Total Absorption Cross Section (cm^2)
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  6.254E-21  2.234E-20  4.020E-20
  5.807E-20  7.594E-20  9.381E-20  1.436E-19  3.894E-19  5.886E-18  7.585E-18  2.462E-18  3.175E-18  4.158E-18
  5.622E-18  5.766E-18  6.949E-18  7.758E-18  8.293E-18
Total Ionization Cross Section (cm^2)
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
OH           + hv           = O            + H            +              +             2793.8
